fy,q,file_name,i140_quarter_statuses,i140_ytd_statuses
2017,1,ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv,4,0
2017,2,Quarterly_All_Forms_FY17Q2_Final.csv,4,0
2017,3,Quarterly_All_Forms_FY17Q3.csv,4,0
2017,4,Quarterly_All_Forms_FY17Q4.csv,4,0
2018,1,Quarterly_All_Forms_FY18Q1 (1).csv,4,0
2018,2,Quarterly_All_Forms_FY18Q2.csv,4,0
2018,3,Quarterly_All_Forms_FY18Q3 (1).csv,4,0
2018,4,Quarterly_All_Forms_FY18Q4.csv,4,0
2019,1,Quarterly_All_Forms_FY19Q1.csv,4,0
2019,2,Quarterly_All_Forms_FY19Q2.csv,4,0
2019,3,Quarterly_All_Forms_FY19Q3.pdf,12,0
2019,4,Quarterly_All_Forms_FY2019Q4.pdf,16,0
2020,1,Quarterly_All_Forms_FY2020Q1.pdf,4,0
2020,2,Quarterly_All_Forms_FY2020Q2.pdf,8,0
2020,3,Quarterly_All_Forms_FY2020Q3.pdf,12,0
2020,4,Quarterly_All_Forms_FY2020Q4.pdf,16,0
2021,1,Quarterly_All_Forms_FY2021Q1.pdf,4,0
2021,2,Quarterly_All_Forms_FY2021Q2.pdf,4,4
2021,3,Quarterly_All_Forms_FY2021Q3.pdf,4,4
2021,4,Quarterly_All_Forms_FY2021Q4.csv,4,4
2022,1,Quarterly_All_Forms_FY2022_Q1.csv,4,4
2022,2,Quarterly_All_Forms_FY2022_Q2.csv,4,4
2022,3,Quarterly_All_Forms_FY2022_Q3.csv,4,4
2022,4,Quarterly_All_Forms_FY2022_Q4.csv,4,4
2023,1,Quarterly_All_Forms_FY2023_Q1.csv,4,4
2023,2,Quarterly_All_Forms_FY2023_Q2.csv,4,4
2023,3,quarterly_all_forms_fy2023_q3.csv,4,4
2023,4,quarterly_all_forms_fy2023_q4.csv,4,4
2024,1,quarterly_all_forms_fy2024_q1.xlsx,4,4
2024,2,quarterly_all_forms_fy2024_q2.xlsx,4,4
2024,3,quarterly_all_forms_fy2024_q3.xlsx,4,4
2024,4,quarterly_all_forms_fy2024_q4.xlsx,4,4
2025,1,quarterly_all_forms_fy2025_q1.xlsx,4,4
2025,2,quarterly_all_forms_fy2025_q2.xlsx,4,4
2025,3,quarterly_all_forms_fy2025_q3.xlsx,4,4
2025,4,quarterly_all_forms_fy2025_q4_v1.xlsx,4,4
